What To Expect Your Professor is Expecting,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
FYRE Studies Away,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
WA Write In,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Heart Your Parts,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Safe Spring Break Tabling,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
IRHC Town Hall,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Clery and Anti-Harassment Training,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Behind Closed Doors,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Community Development Module,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Coaching Through Conflict,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Cultural Competency,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Peer Helping,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
"Role Modeling, Mentoring, Motivating","Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Identity & Inclusion,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Title IX Training,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
FYREWORKS Career Development Conference,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Good Grief: Transitioning from RA to Real Adult,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
FYRE Gets Political,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
FYRE Serves,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Action Zone Bystander Intervention training,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Stressbusters volunteer program training,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Group Travel Workshop,"Thursday, September 1, 2016",9:00 AM,TBD,"Thursday, September 1, 2016",TRUE,
Consent and Sexual Respect Training,"Thursday, September 1, 2016",9:00 AM,Palladium Multipurpose Room,"Thursday, September 1, 2016",TRUE,
CBT Anxiety Toolkit,First four Mondays of each month,3:00 PM,TBD,"Monday, September 05, 2016",TRUE,1:00:00
CBT Anxiety Toolkit,First four Mondays of each month,3:00 PM,TBD,"Monday, September 12, 2016",TRUE,1:00:00
CBT Anxiety Toolkit,First four Mondays of each month,3:00 PM,TBD,"Monday, September 19, 2016",TRUE,1:00:00
CBT Anxiety Toolkit,First four Mondays of each month,3:00 PM,TBD,"Monday, September 26, 2016",TRUE,1:00:00
CBT Anxiety Toolkit,First four Mondays of each month,3:00 PM,TBD,"Monday, October 03, 2016",TRUE,1:00:00
CBT Anxiety Toolkit,First four Mondays of each month,3:00 PM,TBD,"Monday, October 10, 2016",TRUE,1:00:00
CBT Anxiety Toolkit,First four Mondays of each month,3:00 PM,TBD,"Monday, October 17, 2016",TRUE,1:00:00
CBT Anxiety Toolkit,First four Mondays of each month,3:00 PM,TBD,"Monday, October 24, 2016",TRUE,1:00:00
CBT Anxiety Toolkit,First four Mondays of each month,3:00 PM,TBD,"Monday, November 07, 2016",TRUE,1:00:00
CBT Anxiety Toolkit,First four Mondays of each month,3:00 PM,TBD,"Monday, November 14, 2016",TRUE,1:00:00
CBT Anxiety Toolkit,First four Mondays of each month,3:00 PM,TBD,"Monday, November 21, 2016",TRUE,1:00:00
CBT Anxiety Toolkit,First four Mondays of each month,3:00 PM,TBD,"Monday, November 28, 2016",TRUE,1:00:00
